txn_id,customer_id,account_id,txn_date,amount,txn_type,merchant_category,device,ml_score,ml_flag,explain_top
TXN101045,1000,AC183833,2025-07-05 07:59:37,88401.47,1,6,1,0.015,0,"[[""amount"", 0.47195826860865264], [""hour"", 0.004789803123640305], [""amount"", 0.47195826860865264], [""hour"", 0.004789803123640305], [""amount"", 0.47195826860865264], [""hour"", 0.004789803123640305]]"
TXN100934,1000,AC137774,2025-09-12 02:51:49,37478.43,1,3,1,0.025,0,"[[""amount"", 0.4777943706941954], [""hour"", -0.011070709864490954], [""hour"", -0.011070709864490954], [""amount"", 0.4777943706941954], [""amount"", 0.4777943706941954], [""hour"", -0.011070709864490954]]"
TXN100326,1001,AC120546,2025-07-31 04:59:19,196646.78,1,2,0,0.99,1,"[[""hour"", -0.0019461215392252214], [""amount"", -0.47767503863078814], [""hour"", -0.0019461215392252214], [""amount"", -0.47767503863078814], [""hour"", -0.0019461215392252214], [""amount"", -0.47767503863078814]]"
TXN100061,1001,AC185947,2025-08-24 23:09:32,176028.35,1,5,2,0.99,1,"[[""hour"", 0.004046343999251289], [""amount"", -0.47073812464039844], [""amount"", -0.47073812464039844], [""hour"", 0.004046343999251289], [""hour"", 0.004046343999251289], [""amount"", -0.47073812464039844]]"
TXN100957,1001,AC124910,2025-09-02 22:03:52,187540.46,1,0,0,0.975,1,"[[""hour"", 0.00458423033436325], [""amount"", -0.48163212537865574], [""amount"", -0.48163212537865574], [""hour"", 0.00458423033436325], [""amount"", -0.48163212537865574], [""hour"", 0.00458423033436325]]"
TXN101808,1002,AC199218,2025-08-03 07:30:21,92971.96,1,3,2,0.02,0,"[[""amount"", 0.46908441368677095], [""hour"", 0.005103975182467667], [""amount"", 0.46908441368677095], [""hour"", 0.005103975182467667], [""amount"", 0.46908441368677095], [""hour"", 0.005103975182467667]]"
TXN101483,1002,AC125639,2025-08-29 15:55:55,172002.89,1,2,2,0.97,1,"[[""hour"", -0.004995065234509123], [""amount"", -0.4599195572993364], [""hour"", -0.004995065234509123], [""amount"", -0.4599195572993364], [""hour"", -0.004995065234509123], [""amount"", -0.4599195572993364]]"
TXN101805,1003,AC196665,2025-08-21 12:48:07,45746.55,1,5,0,0.005,0,"[[""amount"", 0.4832168274647009], [""hour"", 0.0005572696467434111], [""amount"", 0.4832168274647009], [""hour"", 0.0005572696467434111], [""amount"", 0.4832168274647009], [""hour"", 0.0005572696467434111]]"
TXN101391,1003,AC148626,2025-09-13 07:03:41,148775.25,0,2,2,0.99,1,"[[""hour"", -0.0027362156383930526], [""amount"", -0.4692966343705787], [""hour"", -0.0027362156383930526], [""amount"", -0.4692966343705787], [""hour"", -0.0027362156383930526], [""amount"", -0.4692966343705787]]"
TXN100731,1004,AC186023,2025-07-23 16:13:46,41124.12,1,7,0,0.06,0,"[[""hour"", 0.0006576648991443369], [""amount"", 0.4879898455701895], [""amount"", 0.4879898455701895], [""hour"", 0.0006576648991443369], [""hour"", 0.0006576648991443369], [""amount"", 0.4879898455701895]]"
