txn_id,customer_id,account_id,txn_date,amount,txn_type,merchant_category,location,device
TXN100000,1914,AC163406,2025-07-14 14:36:12,115790.25,debit,Shopping,Patriciamouth,mobile
TXN100001,1193,AC132175,2025-09-12 05:19:55,201378.82,debit,Dining,Lake Stephen,mobile
TXN100002,1661,AC157359,2025-07-11 22:49:54,249495.86,debit,Salary,Washingtonbury,web
TXN100003,1678,AC110043,2025-09-02 17:39:50,32912.42,credit,Healthcare,Geraldfurt,pos
TXN100004,1206,AC105645,2025-08-12 06:25:05,178162.6,credit,Utilities,North Amanda,pos
TXN100005,1599,AC104252,2025-09-28 18:22:41,28529.18,debit,Travel,East Jasmineview,mobile
TXN100006,1737,AC138940,2025-07-25 11:31:00,41286.59,debit,Travel,Carrollchester,pos
TXN100007,1062,AC171901,2025-08-29 20:45:39,10060.78,debit,Salary,New Michael,pos
TXN100008,1553,AC147483,2025-07-25 03:22:04,226286.9,debit,Healthcare,Connorland,pos
TXN100009,1944,AC191216,2025-09-21 11:13:49,58041.63,debit,Utilities,Hammondhaven,mobile
TXN100010,1057,AC118939,2025-09-14 06:36:18,138563.29,debit,Salary,North Laurenbury,mobile
TXN100011,1598,AC113216,2025-08-08 01:42:38,25657.15,debit,Utilities,East Christinemouth,pos
TXN100012,1550,AC180793,2025-07-01 15:27:21,201561.41,debit,Dining,Jamesfurt,mobile
TXN100013,1391,AC124134,2025-08-11 12:00:08,139586.01,debit,Salary,Johnview,web
TXN100014,1424,AC199132,2025-08-13 09:31:12,111101.34,debit,Healthcare,Smithmouth,web
TXN100015,1640,AC148467,2025-08-31 12:44:49,105996.6,debit,Utilities,Chelseafurt,web
TXN100016,1116,AC147130,2025-07-20 00:19:40,110918.57,debit,Grocery,South Ellen,pos
TXN100017,1104,AC132782,2025-08-23 14:44:46,134474.41,debit,Entertainment,Emilyport,mobile
TXN100018,1296,AC144530,2025-08-10 05:34:57,124234.73,debit,Grocery,Port Ashley,web
TXN100019,1271,AC186799,2025-07-13 06:58:14,212563.6,debit,Shopping,Jenniferton,web
TXN100020,1290,AC185941,2025-07-16 09:33:25,218879.87,debit,Travel,Sharonshire,mobile
TXN100021,1560,AC177285,2025-07-26 21:50:18,92356.76,credit,Entertainment,East Beverly,pos
TXN100022,1506,AC163687,2025-08-31 22:21:01,168530.76,debit,Shopping,West Vanessaton,mobile
TXN100023,1216,AC191137,2025-08-31 15:26:54,247538.43,debit,Grocery,New Rachel,web
TXN100024,1277,AC132915,2025-09-24 12:28:55,178520.06,debit,Grocery,Chandlerton,pos
TXN100025,1248,AC161920,2025-08-04 21:20:54,150815.01,debit,Salary,Gutierrezburgh,mobile
TXN100026,1737,AC101729,2025-08-30 19:21:10,187028.39,debit,Healthcare,New Christine,mobile
TXN100027,1297,AC159466,2025-07-30 04:40:13,95276.03,debit,Travel,New Michellechester,mobile
TXN100028,1674,AC198064,2025-09-25 21:49:37,24469.74,credit,Salary,South Robertborough,web
TXN100029,1754,AC148266,2025-09-09 16:55:47,215240.4,debit,Grocery,Joycefurt,web
TXN100030,1235,AC142365,2025-09-17 15:49:42,145106.68,debit,Dining,Howardburgh,mobile
TXN100031,1362,AC192154,2025-08-17 16:02:04,15074.29,debit,Entertainment,Chenshire,pos
TXN100032,1586,AC121449,2025-09-18 02:11:31,82472.46,debit,Travel,Mooremouth,pos
TXN100033,1166,AC180370,2025-07-13 13:54:19,231539.63,debit,Salary,Knightfort,web
TXN100034,1994,AC138703,2025-07-21 20:54:24,44711.89,debit,Salary,Port Stephanieshire,web
TXN100035,1504,AC166662,2025-07-02 17:46:09,238650.19,debit,Shopping,East Erictown,web
TXN100036,1700,AC195926,2025-09-15 07:59:21,223155.08,credit,Healthcare,Port Alexander,web
TXN100037,1967,AC168543,2025-08-26 17:31:24,80438.44,credit,Travel,East Monica,mobile
TXN100038,1089,AC193846,2025-07-24 11:07:53,35233.48,debit,Entertainment,Erikhaven,web
TXN100039,1432,AC127574,2025-09-14 18:18:12,103480.41,debit,Entertainment,Ericview,mobile
TXN100040,1332,AC128099,2025-09-19 18:29:42,212202.18,debit,Shopping,Lake Timothychester,web
TXN100041,1343,AC158866,2025-07-09 19:47:37,10870.4,debit,Dining,Arielmouth,mobile
TXN100042,1352,AC193809,2025-09-23 16:38:08,19821.92,credit,Dining,Simmonsmouth,mobile
TXN100043,1434,AC195953,2025-07-31 04:44:08,120475.5,debit,Grocery,North Amandaport,mobile
TXN100044,1538,AC190175,2025-08-11 15:30:44,237307.44,debit,Travel,Cindyville,pos
TXN100045,1431,AC194185,2025-09-08 02:31:24,241640.81,debit,Salary,North Michelletown,web
TXN100046,1540,AC146245,2025-09-24 09:49:46,6341.47,debit,Salary,East Sandra,web
TXN100047,1587,AC135507,2025-07-13 02:49:55,238125.13,debit,Healthcare,Lake Brittanybury,mobile
TXN100048,1917,AC148887,2025-08-19 10:05:05,62740.84,debit,Shopping,Daniellebury,mobile
TXN100049,1182,AC116743,2025-09-02 14:33:01,156456.33,debit,Grocery,Williamtown,web
TXN100050,1690,AC194508,2025-08-29 00:55:45,52955.21,debit,Utilities,New Thomasland,pos
TXN100051,1673,AC196619,2025-07-22 23:18:46,217778.45,debit,Travel,North Anthony,pos
TXN100052,1508,AC169290,2025-07-03 21:16:49,198109.26,debit,Utilities,Justinview,web
TXN100053,1365,AC151498,2025-07-08 19:30:09,36385.22,debit,Shopping,East Jeffrey,web
TXN100054,1628,AC130575,2025-07-24 16:36:20,52457.77,debit,Entertainment,Piercemouth,web
TXN100055,1821,AC145949,2025-08-21 12:37:02,22090.05,debit,Utilities,East Erin,mobile
TXN100056,1853,AC150749,2025-08-31 10:03:16,95970.59,debit,Entertainment,Lake Ana,mobile
TXN100057,1100,AC147003,2025-07-16 06:35:12,71574.41,debit,Healthcare,South Carol,web
TXN100058,1016,AC135095,2025-08-29 18:36:55,202126.97,debit,Grocery,Smithberg,mobile
TXN100059,1955,AC161796,2025-07-13 12:37:31,35134.59,debit,Entertainment,North Timothy,pos
TXN100060,1911,AC115017,2025-07-19 16:24:30,60811.61,debit,Healthcare,Port Cesarton,pos
TXN100061,1001,AC185947,2025-08-24 23:09:32,176028.35,debit,Shopping,East Matthew,web
TXN100062,1851,AC110745,2025-08-16 19:51:37,164403.18,debit,Shopping,Lake Jasonshire,mobile
TXN100063,1095,AC163916,2025-08-13 04:29:58,59219.66,credit,Utilities,East Scott,pos
TXN100064,1643,AC123858,2025-07-22 12:50:45,19448.33,debit,Shopping,Chambersport,web
TXN100065,1162,AC165511,2025-08-10 21:16:47,43358.29,debit,Healthcare,Jacquelinemouth,web
TXN100066,1767,AC109716,2025-09-05 02:04:06,23091.95,credit,Entertainment,Lake Robertmouth,web
TXN100067,1607,AC193538,2025-09-02 16:49:40,94904.39,credit,Travel,North Stephanie,pos
TXN100068,1046,AC192015,2025-08-23 13:34:20,249145.75,credit,Salary,West Joshuahaven,web
TXN100069,1460,AC131058,2025-08-05 19:42:26,195470.94,debit,Shopping,Anthonyshire,mobile
TXN100070,1375,AC150807,2025-07-04 13:48:27,1019.31,credit,Grocery,West Kathy,mobile
TXN100071,1484,AC110179,2025-07-15 18:48:50,214620.84,debit,Utilities,Colleenmouth,web
TXN100072,1514,AC123213,2025-09-11 15:14:17,3699.47,debit,Travel,North Dianeview,mobile
TXN100073,1887,AC199811,2025-07-31 14:03:33,36623.66,credit,Salary,Maryside,web
TXN100074,1622,AC173780,2025-07-26 22:10:47,5541.05,debit,Dining,Cooperberg,web
TXN100075,1164,AC188692,2025-09-09 16:10:58,105727.2,debit,Shopping,Port Nathanfurt,mobile
TXN100076,1426,AC137349,2025-09-14 03:34:28,27134.11,debit,Dining,Johnsonmouth,mobile
TXN100077,1939,AC195451,2025-08-16 02:20:30,51577.24,debit,Utilities,Chavezton,pos
TXN100078,1908,AC160834,2025-07-02 09:03:53,144354.72,debit,Dining,North Janeport,web
TXN100079,1558,AC177439,2025-07-29 06:58:32,37570.81,credit,Shopping,Parkerfort,pos
TXN100080,1590,AC182894,2025-09-26 07:40:44,97705.09,debit,Entertainment,Sydneyport,pos
TXN100081,1541,AC122120,2025-09-25 05:20:54,14908.78,debit,Dining,Yateston,web
TXN100082,1817,AC150493,2025-09-22 06:03:14,61536.91,credit,Grocery,Port Patricia,web
TXN100083,1430,AC127208,2025-09-03 09:39:17,6569.97,credit,Shopping,Lawsonshire,web
TXN100084,1928,AC128360,2025-08-07 23:29:42,228240.54,credit,Shopping,West Mary,mobile
TXN100085,1716,AC195574,2025-09-18 00:10:56,83121.67,debit,Travel,Lake Jamiehaven,pos
TXN100086,1152,AC147710,2025-07-22 06:46:47,181673.38,debit,Entertainment,Blackwellborough,mobile
TXN100087,1177,AC105459,2025-07-22 04:23:42,94513.97,debit,Utilities,West Jessicaborough,mobile
TXN100088,1922,AC153686,2025-07-21 13:35:15,54285.4,debit,Salary,North Natalie,pos
TXN100089,1095,AC165950,2025-08-07 19:45:12,160933.45,debit,Salary,Maryton,web
TXN100090,1915,AC111719,2025-07-20 01:15:01,19023.34,debit,Dining,Lake Johnfort,web
TXN100091,1859,AC186683,2025-08-08 23:42:42,223226.4,credit,Shopping,Carolynberg,mobile
TXN100092,1046,AC135000,2025-07-24 23:20:37,83934.35,debit,Salary,East Chad,web
TXN100093,1953,AC168806,2025-09-03 14:12:57,66947.28,debit,Salary,Murraymouth,pos
TXN100094,1403,AC133532,2025-07-25 18:53:32,61783.66,credit,Entertainment,New Charles,mobile
TXN100095,1626,AC117951,2025-09-24 01:31:52,211591.52,debit,Healthcare,New Katieburgh,web
TXN100096,1945,AC111793,2025-07-24 10:52:06,32414.96,debit,Utilities,Duncanview,pos
TXN100097,1886,AC150578,2025-07-13 07:18:54,155605.2,debit,Dining,West Jonathan,mobile
TXN100098,1607,AC176980,2025-08-30 20:11:10,11142.44,debit,Utilities,Jodytown,web
TXN100099,1033,AC103939,2025-07-10 16:34:58,177609.09,credit,Dining,West Davidmouth,pos
TXN100100,1193,AC157802,2025-08-23 05:43:41,73735.55,debit,Healthcare,North Ericbury,pos
TXN100101,1622,AC173527,2025-08-13 01:31:04,120518.22,debit,Entertainment,Mezafort,pos
TXN100102,1737,AC138077,2025-08-20 22:41:40,78116.74,debit,Travel,Goldenshire,pos
TXN100103,1998,AC131595,2025-08-05 07:26:26,214707.12,debit,Shopping,Roblesport,web
TXN100104,1418,AC176330,2025-08-17 23:02:18,36410.3,debit,Utilities,Lake Andrea,mobile
TXN100105,1966,AC120118,2025-07-08 03:42:47,125524.06,debit,Healthcare,Garzaborough,web
TXN100106,1414,AC112069,2025-09-12 16:33:17,153502.64,debit,Utilities,West Natashastad,mobile
TXN100107,1179,AC118217,2025-07-30 19:36:31,37328.41,credit,Salary,Michaelville,pos
TXN100108,1147,AC149010,2025-08-08 16:38:44,234353.53,debit,Shopping,Williamsland,web
TXN100109,1320,AC181010,2025-07-16 01:28:40,58477.81,debit,Shopping,West Heather,pos
TXN100110,1789,AC176565,2025-09-10 07:06:38,92552.51,credit,Salary,East Jason,mobile
TXN100111,1965,AC153795,2025-07-04 02:56:10,172357.33,debit,Entertainment,Burgessstad,mobile
TXN100112,1556,AC142957,2025-08-11 17:19:02,220319.15,debit,Grocery,Davidport,mobile
TXN100113,1072,AC193256,2025-08-05 19:25:38,150106.04,debit,Entertainment,Lake Kylehaven,pos
TXN100114,1494,AC158483,2025-07-12 03:29:16,57784.85,credit,Shopping,Lake Annaside,mobile
TXN100115,1524,AC116650,2025-09-19 18:26:46,220653.67,debit,Healthcare,East Jenniferstad,web
TXN100116,1754,AC161873,2025-09-17 07:44:46,145405.12,debit,Salary,Michellefurt,pos
TXN100117,1508,AC127713,2025-08-11 07:34:57,59607.15,debit,Travel,Fowlerfurt,web
TXN100118,1443,AC130532,2025-07-24 19:10:38,122520.05,debit,Salary,Gainesborough,mobile
TXN100119,1446,AC171989,2025-08-21 18:42:15,125370.14,debit,Utilities,Lake Ashley,mobile
TXN100120,1703,AC175617,2025-08-05 18:02:22,175218.8,debit,Utilities,Josemouth,web
TXN100121,1024,AC148159,2025-08-25 03:06:21,63299.13,credit,Salary,West Charles,web
TXN100122,1517,AC100371,2025-08-03 04:06:00,57296.59,debit,Utilities,Lake Thomaschester,pos
TXN100123,1464,AC161020,2025-08-20 13:26:52,57117.95,debit,Salary,South Levi,web
TXN100124,1622,AC112770,2025-07-31 07:33:40,149017.9,debit,Entertainment,Courtneybury,mobile
TXN100125,1125,AC155324,2025-09-14 08:56:07,111478.99,debit,Dining,Thomasfurt,mobile
TXN100126,1729,AC164337,2025-08-16 06:10:39,72277.21,debit,Grocery,West Suzanne,pos
TXN100127,1743,AC105294,2025-08-27 03:52:05,194952.93,debit,Utilities,Ballland,pos
TXN100128,1750,AC181990,2025-09-04 08:00:46,203790.32,debit,Travel,Hendersontown,web
TXN100129,1579,AC114975,2025-08-26 11:37:32,112272.54,debit,Shopping,West Darrellfort,mobile
TXN100130,1406,AC198614,2025-08-10 05:57:46,220934.27,debit,Healthcare,Port Katherine,web
TXN100131,1221,AC104030,2025-07-27 21:28:17,202914.93,debit,Healthcare,West Jasonbury,web
TXN100132,1999,AC115397,2025-09-27 16:59:10,140459.81,debit,Shopping,Lake Brendahaven,mobile
TXN100133,1660,AC182089,2025-08-30 16:38:34,224664.69,debit,Travel,Donside,mobile
TXN100134,1731,AC133728,2025-08-19 17:17:28,243324.65,debit,Salary,North Ronaldchester,pos
TXN100135,1997,AC142654,2025-09-02 16:44:53,25757.07,credit,Salary,West Jose,mobile
TXN100136,1057,AC138548,2025-08-08 11:37:36,148127.1,debit,Healthcare,East Erin,web
TXN100137,1738,AC130391,2025-09-25 01:30:21,77891.58,credit,Dining,Ryanview,pos
TXN100138,1526,AC177981,2025-09-02 17:25:52,185284.35,debit,Dining,Cathyville,web
TXN100139,1452,AC109983,2025-07-12 00:02:44,74400.82,credit,Shopping,South Sarah,mobile
TXN100140,1884,AC186135,2025-09-21 16:07:18,52442.42,debit,Travel,New Jamiestad,pos
TXN100141,1143,AC131979,2025-07-15 16:28:19,100701.41,debit,Dining,Jasontown,web
TXN100142,1834,AC170086,2025-07-21 11:29:06,144481.33,debit,Grocery,Loganmouth,pos
TXN100143,1455,AC108459,2025-09-01 17:57:24,186620.64,credit,Shopping,West Jessica,pos
TXN100144,1845,AC128471,2025-08-30 06:08:18,52055.55,debit,Travel,South Alexton,mobile
TXN100145,1187,AC138810,2025-07-11 05:11:36,64273.51,debit,Salary,Samanthaland,web
TXN100146,1028,AC183931,2025-07-30 03:53:36,2687.75,debit,Grocery,Claudiaborough,web
TXN100147,1634,AC130642,2025-07-13 07:35:38,33454.42,debit,Salary,Choichester,mobile
TXN100148,1318,AC167164,2025-08-24 14:50:03,32584.27,debit,Utilities,Johnsonberg,web
TXN100149,1181,AC173541,2025-07-04 05:10:11,145903.28,debit,Shopping,Michelleburgh,web
TXN100150,1548,AC120930,2025-08-16 01:45:46,99545.06,debit,Dining,Lake Saramouth,pos
TXN100151,1805,AC120638,2025-08-06 01:23:33,165184.38,credit,Utilities,North Susan,mobile
TXN100152,1146,AC186026,2025-09-26 02:34:51,243297.92,debit,Salary,South Pamfort,web
TXN100153,1253,AC153829,2025-09-17 13:53:23,47324.38,debit,Shopping,Moorefurt,web
TXN100154,1917,AC120891,2025-07-14 03:00:12,5522.26,debit,Dining,Lake Joshuaport,pos
TXN100155,1990,AC116031,2025-09-02 22:58:44,175583.96,debit,Healthcare,New Annette,pos
TXN100156,1351,AC171410,2025-09-16 18:21:47,143794.46,credit,Dining,Ingramshire,mobile
TXN100157,1738,AC124125,2025-09-12 22:06:14,18986.36,debit,Utilities,North Victoria,pos
TXN100158,1671,AC165131,2025-08-25 17:39:47,30793.01,debit,Shopping,Debbieview,web
TXN100159,1220,AC112259,2025-09-17 10:49:10,149642.03,debit,Dining,Brennanshire,web
TXN100160,1560,AC193013,2025-09-17 01:09:06,200749.94,debit,Salary,Murphychester,pos
TXN100161,1920,AC140796,2025-09-18 06:07:04,168168.13,debit,Utilities,East Julie,pos
TXN100162,1714,AC145463,2025-08-09 08:18:30,153728.65,debit,Salary,South Jacobland,web
TXN100163,1751,AC101441,2025-09-10 09:33:53,172117.65,debit,Travel,Port Nancy,pos
TXN100164,1114,AC106702,2025-08-26 20:26:43,142297.21,debit,Healthcare,North Alexanderbury,mobile
TXN100165,1946,AC160990,2025-09-14 17:52:39,144303.41,debit,Utilities,North Stephanie,web
TXN100166,1973,AC119008,2025-09-09 12:36:09,12607.14,debit,Utilities,Arnoldville,pos
TXN100167,1830,AC150023,2025-08-26 09:52:08,65225.91,debit,Salary,Leemouth,web
TXN100168,1973,AC157136,2025-07-22 15:44:28,198830.77,debit,Dining,East Davidview,mobile
TXN100169,1235,AC175894,2025-08-08 01:42:10,33391.88,debit,Utilities,Port Thomas,web
TXN100170,1173,AC130851,2025-07-19 10:36:49,54572.65,debit,Salary,New Laurie,web
TXN100171,1089,AC142710,2025-07-09 03:01:46,128372.74,debit,Utilities,Leeborough,web
TXN100172,1038,AC174113,2025-08-04 01:42:59,164378.49,debit,Shopping,South Holly,mobile
TXN100173,1973,AC136996,2025-09-13 12:17:46,241497.12,debit,Dining,Port Jessica,pos
TXN100174,1554,AC183237,2025-07-11 18:25:07,99981.89,debit,Healthcare,Darrenview,web
TXN100175,1981,AC157523,2025-08-08 15:36:51,15669.49,debit,Utilities,Cordovafurt,mobile
TXN100176,1623,AC148800,2025-09-01 08:20:16,94711.52,debit,Salary,Higginschester,pos
TXN100177,1016,AC109113,2025-09-23 20:59:18,50029.5,debit,Dining,Janetberg,web
TXN100178,1826,AC143730,2025-07-22 02:48:21,110988.22,debit,Dining,Port Joshuaville,mobile
TXN100179,1989,AC166354,2025-07-01 12:37:16,15369.25,debit,Dining,Lake Jack,mobile
TXN100180,1169,AC132388,2025-09-25 16:59:17,27625.97,debit,Entertainment,West Matthewmouth,mobile
TXN100181,1426,AC152717,2025-07-22 17:15:21,43273.95,debit,Dining,Peckside,pos
TXN100182,1409,AC121279,2025-09-27 04:30:51,148576.73,debit,Shopping,Lake Cynthiaville,mobile
TXN100183,1238,AC120302,2025-09-13 19:44:12,192799.97,debit,Travel,South Dana,web
TXN100184,1799,AC171344,2025-07-07 04:56:19,35333.75,debit,Entertainment,Stephenstad,pos
TXN100185,1110,AC169721,2025-09-17 21:12:13,133991.81,debit,Grocery,New Davidberg,mobile
TXN100186,1168,AC172563,2025-08-02 13:29:44,51952.57,debit,Salary,Martinfurt,mobile
TXN100187,1264,AC166891,2025-08-22 11:33:39,238382.98,debit,Shopping,Martinezchester,mobile
TXN100188,1124,AC121729,2025-07-22 02:10:43,174722.36,debit,Entertainment,South Angela,pos
TXN100189,1326,AC124536,2025-07-20 10:09:36,158640.6,debit,Utilities,Adamsburgh,pos
TXN100190,1849,AC160008,2025-07-14 20:29:26,1665.16,debit,Shopping,Santiagostad,pos
TXN100191,1632,AC119212,2025-09-05 08:41:21,220682.52,debit,Salary,West Heatherview,pos
TXN100192,1316,AC173538,2025-08-21 04:02:28,226001.42,debit,Grocery,New Michelleville,mobile
TXN100193,1682,AC118014,2025-09-15 10:33:27,167537.12,debit,Entertainment,Powersside,pos
TXN100194,1205,AC140873,2025-09-17 16:57:25,28758.25,debit,Shopping,Riosmouth,mobile
TXN100195,1802,AC173052,2025-08-17 08:00:40,88635.45,debit,Shopping,Lake Cynthiastad,web
TXN100196,1237,AC156481,2025-07-14 01:03:25,55732.11,debit,Shopping,New Ryan,pos
TXN100197,1849,AC108011,2025-09-06 03:08:33,205930.33,debit,Utilities,South Edward,mobile
TXN100198,1171,AC122332,2025-09-22 05:30:07,19608.2,debit,Entertainment,New Pamelafurt,web
TXN100199,1029,AC184590,2025-08-21 08:28:02,76671.15,debit,Healthcare,South Meganburgh,pos
TXN100200,1853,AC126671,2025-09-03 04:45:30,227809.74,debit,Dining,Josephton,web
TXN100201,1611,AC177220,2025-09-26 15:36:24,106170.08,debit,Shopping,Sarahhaven,mobile
TXN100202,1486,AC110514,2025-08-27 15:53:47,201896.85,debit,Dining,East Lauramouth,pos
TXN100203,1452,AC122217,2025-08-21 20:47:32,32234.53,debit,Entertainment,New Stacey,web
TXN100204,1546,AC104968,2025-08-19 14:54:45,95284.39,debit,Healthcare,Jamesfort,pos
TXN100205,1455,AC109969,2025-09-07 08:45:56,122867.22,debit,Grocery,Caitlinmouth,mobile
TXN100206,1115,AC172389,2025-07-11 15:06:31,193632.21,debit,Grocery,Hornborough,web
TXN100207,1138,AC127082,2025-08-10 09:15:29,100892.79,debit,Salary,New Andrewland,web
TXN100208,1971,AC126322,2025-08-10 11:53:52,169508.23,credit,Grocery,Lake Karen,pos
TXN100209,1703,AC113790,2025-09-28 11:28:11,74342.36,debit,Shopping,Arnoldshire,web
TXN100210,1072,AC174889,2025-07-07 10:39:49,47209.85,debit,Travel,East Stacy,mobile
TXN100211,1526,AC157095,2025-09-13 06:27:53,133001.01,debit,Healthcare,East Belinda,pos
TXN100212,1569,AC184149,2025-09-02 15:23:19,79352.04,debit,Healthcare,Sawyerville,mobile
TXN100213,1821,AC146955,2025-08-09 03:35:46,96412.42,debit,Salary,Jonesborough,web
TXN100214,1746,AC178395,2025-07-28 20:30:01,14742.28,debit,Travel,New Nicolemouth,pos
TXN100215,1155,AC141950,2025-08-24 18:05:46,143403.75,debit,Salary,Bondtown,mobile
TXN100216,1970,AC178544,2025-07-24 10:53:15,188210.4,debit,Utilities,Benjaminside,pos
TXN100217,1669,AC151275,2025-08-07 07:15:09,73885.33,debit,Entertainment,South Kimberly,web
TXN100218,1801,AC154720,2025-09-13 22:43:53,5540.84,debit,Dining,South Johnny,web
TXN100219,1600,AC174865,2025-07-23 00:03:18,94853.19,debit,Healthcare,Port Tyler,web
TXN100220,1841,AC152218,2025-08-07 11:15:17,80040.38,debit,Dining,Crawfordstad,web
TXN100221,1041,AC169795,2025-08-29 17:05:55,192566.64,debit,Dining,Acostaport,mobile
TXN100222,1936,AC199020,2025-09-06 01:40:05,132178.51,debit,Shopping,East Emily,mobile
TXN100223,1707,AC165947,2025-07-10 10:58:32,128886.99,debit,Entertainment,Coleside,mobile
TXN100224,1085,AC106018,2025-08-06 07:40:56,144474.72,debit,Travel,East Tyler,mobile
TXN100225,1783,AC102564,2025-07-21 06:00:20,122043.32,debit,Grocery,Port Dylan,pos
TXN100226,1815,AC161300,2025-07-25 04:52:22,12311.29,debit,Dining,Jameschester,web
TXN100227,1697,AC109422,2025-09-18 10:25:37,200626.16,debit,Dining,Richardview,web
TXN100228,1565,AC124430,2025-07-22 03:02:38,116949.81,debit,Entertainment,West Brandonborough,web
TXN100229,1111,AC177593,2025-07-17 02:04:36,145276.81,credit,Dining,Port Gina,web
TXN100230,1907,AC148042,2025-08-04 11:32:35,131077.42,debit,Salary,Laurashire,mobile
TXN100231,1599,AC170255,2025-07-13 22:43:43,18733.68,debit,Dining,Watsonland,pos
TXN100232,1228,AC171836,2025-07-13 20:33:55,82622.86,debit,Dining,North Kristieburgh,web
TXN100233,1737,AC154307,2025-09-26 10:22:36,219991.13,debit,Healthcare,West Gregoryborough,pos
TXN100234,1705,AC184124,2025-07-02 02:41:30,182055.01,debit,Utilities,Stephaniemouth,mobile
TXN100235,1206,AC159655,2025-09-12 03:28:07,213055.83,debit,Dining,Rachelfort,mobile
TXN100236,1800,AC146250,2025-09-20 08:17:56,60871.03,debit,Travel,New Deborah,web
TXN100237,1150,AC103404,2025-09-28 00:46:18,159647.33,debit,Salary,Port Stacy,web
TXN100238,1579,AC167803,2025-08-11 11:30:21,137881.4,debit,Salary,North Kylieborough,mobile
TXN100239,1725,AC184892,2025-09-08 00:02:34,209665.44,debit,Entertainment,Schneiderhaven,web
TXN100240,1690,AC165012,2025-07-16 04:34:55,229695.39,debit,Entertainment,Lake Jenniferbury,mobile
TXN100241,1605,AC148085,2025-07-24 03:23:22,249513.18,debit,Grocery,South Lindaburgh,web
TXN100242,1518,AC147129,2025-07-10 13:03:36,117572.51,debit,Grocery,Port Derrickmouth,web
TXN100243,1216,AC163855,2025-07-30 15:11:16,162755.29,debit,Grocery,Deanhaven,mobile
TXN100244,1023,AC159145,2025-08-08 04:08:28,101993.87,debit,Utilities,Lake Marktown,mobile
TXN100245,1597,AC112278,2025-09-02 18:04:52,199907.95,debit,Salary,West Jasonside,web
TXN100246,1613,AC126995,2025-07-01 23:48:38,93202.92,debit,Shopping,Michaelberg,web
TXN100247,1061,AC100644,2025-09-17 03:48:24,12819.75,credit,Entertainment,Wintersmouth,pos
TXN100248,1484,AC142405,2025-08-11 16:13:10,75680.72,credit,Healthcare,East Donaldchester,web
TXN100249,1091,AC169005,2025-07-13 23:18:06,111641.54,debit,Dining,North Amandaton,pos
TXN100250,1500,AC133611,2025-07-25 09:11:31,56417.44,debit,Shopping,Tiffanyside,mobile
TXN100251,1487,AC140647,2025-08-27 18:18:23,179828.19,debit,Salary,South Craigfurt,pos
TXN100252,1842,AC183992,2025-08-22 12:05:13,183952.33,debit,Dining,Lake Kimberly,web
TXN100253,1284,AC197252,2025-08-19 05:09:10,224563.16,credit,Grocery,South Thomasstad,pos
TXN100254,1435,AC194466,2025-08-23 02:48:09,195138.57,debit,Utilities,Port Heather,web
TXN100255,1864,AC199693,2025-09-21 22:59:13,126236.51,debit,Salary,Port Karen,mobile
TXN100256,1130,AC127487,2025-08-02 10:22:27,9483.29,debit,Grocery,Lake Bradyfurt,web
TXN100257,1303,AC114927,2025-07-07 20:19:33,197188.21,debit,Entertainment,Briannachester,pos
TXN100258,1108,AC142258,2025-07-30 08:56:10,143854.61,debit,Utilities,Kevinberg,mobile
